id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
16812429,Manhattan,Harlem,40.80717,-73.95065,Private room,5.82600010738045,2,20,0.34,8,164
16814205,Queens,Jamaica,40.67902,-73.79716,Private room,4.248495242049359,1,585,8.98,1,74
16534156,Manhattan,Upper East Side,40.77078,-73.95429,Entire home/apt,4.605170185988092,90,31,0.54,4,272
16534157,Brooklyn,Midwood,40.62202,-73.95375,Private room,4.31748811353631,3,90,1.36,2,143
16613747,Brooklyn,Bushwick,40.70746,-73.91928,Private room,4.219507705176107,3,171,2.78,1,322
16814536,Brooklyn,Sunset Park,40.64095,-74.01747,Private room,3.912023005428146,30,1,0.02,1,0
16534337,Brooklyn,Williamsburg,40.71336,-73.93787,Private room,4.31748811353631,14,34,0.51,5,246
16534588,Manhattan,Midtown,40.75269,-73.97244,Private room,5.241747015059643,2,0,0.0,2,0
16821077,Brooklyn,Windsor Terrace,40.65851,-73.98153,Private room,3.912023005428146,30,0,0.0,1,0
16540563,Brooklyn,Bushwick,40.69617,-73.93038,Private room,3.2188758248682006,30,1,0.02,1,0
16541635,Manhattan,Upper West Side,40.7914,-73.965,Entire home/apt,4.356708826689592,30,2,0.03,1,0
16824884,Brooklyn,Bedford-Stuyvesant,40.68213,-73.93792,Entire home/apt,4.8283137373023015,30,11,0.18,2,276
16974611,Staten Island,Tompkinsville,40.62814,-74.08666,Private room,3.871201010907891,5,32,0.5,4,109
16613993,Manhattan,Civic Center,40.71315,-74.00524,Private room,4.007333185232471,30,11,0.18,1,0
16616853,Brooklyn,Bedford-Stuyvesant,40.67992,-73.94247,Entire home/apt,5.241747015059643,3,256,3.91,1,40
16826741,Manhattan,Gramercy,40.7357,-73.98188,Entire home/apt,5.043425116919247,30,3,0.05,1,0
16617217,Manhattan,Flatiron District,40.74416,-73.9915,Entire home/apt,5.0689042022202315,30,0,0.0,1,0
16828843,Manhattan,Chelsea,40.74194,-73.99944,Entire home/apt,4.867534450455582,30,5,0.08,1,0
16617542,Manhattan,Lower East Side,40.71716,-73.98206,Private room,4.0943445622221,30,2,0.04,1,0
16983203,Queens,Jamaica,40.6983,-73.81033,Private room,3.7612001156935624,30,39,0.61,1,154
16829324,Manhattan,Lower East Side,40.72296,-73.99084,Entire home/apt,5.799092654460526,3,133,2.22,1,120
16987293,Brooklyn,Clinton Hill,40.69397,-73.96455,Entire home/apt,5.0106352940962555,30,1,0.02,2,0
